email,id,nombre
luis@mail.com,2,Luis
maria@mail.com,3,Maria
juan@mail.com,4,Juan
elena@mail.com,5,Elena
marta@gmail.om,6,Marta
pedro@gmail.com,7,Pedro
carlos@mail.com,8,Carlos
ana@mail.com,9,Ana
sofia@gmail.com,10,Sofia
diego@mail.com,11,Diego
laura@gmail.com,12,Laura
jorge@mail.com,13,Jorge
lucia@gmail.com,14,Lucia
andres@mail.com,15,Andres
carmen@gmail.com,16,Carmen
miguel@mail.com,17,Miguel
rosa@gmail.com,18,Rosa
david@mail.com,19,David
isabel@gmail.com,20,Isabel
raul@mail.com,21,Raul
raph@mail.com,21,Rauph
juan@ejemplo.com,22,Juan Pérez
maria@ejemplo.com,23,María García
pedro@ejemplo.com,24,Pedro López
