email,id,nombre,edad
ana@gmail.com,1,Ana,34
luis@outlook.com,2,Luis,28
carlos@mail.com,3,Carlos,45
elena@gmail.com,4,Elena,29
marta@yahoo.com,5,Marta,52
pedro@gmail.com,6,Pedro,31
sofia@outlook.com,7,Sofia,27
carlos@mail.com,8,Carlos,45
ana@mail.com,9,Ana,34
sofia@gmail.com,10,Sofia,27
diego@mail.com,11,Diego,33
laura@gmail.com,12,Laura,28
jorge@mail.com,13,Jorge,40
lucia@gmail.com,14,Lucia,26
andres@mail.com,15,Andres,35
carmen@gmail.com,16,Carmen,42
miguel@mail.com,17,Miguel,39
rosa@gmail.com,18,Rosa,31
david@mail.com,19,David,37
isabel@gmail.com,20,Isabel,29
raul@mail.com,21,Raul,30
raph@mail.com,21,Rauph,32
maria@ejemplo.com,22,Juan Pérez,44
maria@ejemplo.com,23,María García,38
